Files already downloaded
[2144.7504347264767, 2055.1804128065705, 2399.287265777588, 2356.914025425911, 2069.9575521349907, 2620.572732567787, 2219.1237154901028, 2087.0826563686132]
1 Epoch [46/200], Discriminator 0.2197, Best Generator[1] 0.1032
[1966.5283230245113, 2836.299918651581, 2179.6341815441847, 2013.390199571848, 2502.5479061603546, 2145.9926451072097, 1877.6498098634183, 2296.702499091625]
6 Epoch [47/200], Discriminator 0.4955, Best Generator[6] 0.0731
[2678.828965306282, 2812.201604485512, 2834.9829370975494, 2577.4625155329704, 2703.962353825569, 2766.5644361376762, 2839.1273646354675, 2721.6341841220856]
3 Epoch [48/200], Discriminator 0.3475, Best Generator[3] 1.8109
[2086.4748493433, 1965.8676390945911, 1998.5833042263985, 2510.3268570899963, 2160.4635558128357, 2002.9349628090858, 1986.144318252802, 2023.811580836773]
1 Epoch [49/200], Discriminator 0.3244, Best Generator[1] 0.3818
[2427.5842786431313, 2705.7961909770966, 2296.711290180683, 2199.1860739588737, 2319.425877481699, 2325.849868655205, 2270.261358946562, 2372.04006421566]
3 Epoch [50/200], Discriminator 0.3846, Best Generator[3] 0.9435
[2441.493036419153, 2765.2417669296265, 2660.479246020317, 2831.27041888237, 2541.936270982027, 2580.791598677635, 2394.0640673339367, 2520.4250882864]
6 Epoch [51/200], Discriminator 0.3109, Best Generator[6] 0.4761
[2516.198416531086, 2371.0265572071075, 2290.7995875775814, 2080.5206532478333, 2341.400757789612, 2213.616832435131, 2816.414541244507, 1971.9822835028172]
7 Epoch [52/200], Discriminator 0.2545, Best Generator[7] 0.9728
[2844.8848304748535, 2579.9578035622835, 2988.4722179174423, 2601.281978264451, 2643.832880795002, 2731.50391086936, 2741.0796912908554, 3155.0236506462097]
1 Epoch [53/200], Discriminator 0.3141, Best Generator[1] 0.2877
[2191.580753490329, 2785.7603874206543, 2163.1538777947426, 2063.0259733498096, 2549.7598118185997, 2311.3694035708904, 2206.7114211022854, 2168.3425326794386]
3 Epoch [54/200], Discriminator 0.3211, Best Generator[3] 0.3151
[2277.438248336315, 2449.1936050653458, 2467.5983340740204, 2658.7336342334747, 2497.7265598773956, 2456.974347472191, 2130.140737891197, 2420.5493389368057]
6 Epoch [55/200], Discriminator 0.2692, Best Generator[6] 0.6363
[2359.091444194317, 2452.847292035818, 2668.7822217941284, 2395.213128387928, 2413.2444152235985, 2531.3081914782524, 2866.1956884860992, 2323.1028975844383]
7 Epoch [56/200], Discriminator 0.2588, Best Generator[7] 0.3881
[2406.55697453022, 2287.9010894298553, 2288.147289633751, 2246.0308296382427, 2266.3179257512093, 2335.868110001087, 2341.210866689682, 2639.8177495002747]
3 Epoch [57/200], Discriminator 0.2734, Best Generator[3] 0.3284
[1966.0631840527058, 1806.369290202856, 2142.0445436537266, 2687.072501897812, 2430.7249015569687, 1925.2908923178911, 2042.7729183286428, 1760.8623607000336]
7 Epoch [58/200], Discriminator 0.3449, Best Generator[7] 0.0286
[2488.5050414800644, 2259.603233933449, 2469.398755669594, 2302.428134381771, 2473.0255407094955, 2356.9174939990044, 2188.820066779852, 2703.1987245082855]
6 Epoch [59/200], Discriminator 0.1868, Best Generator[6] 0.5956
[2326.226856857538, 2318.170572221279, 2316.9100055098534, 2307.5875279307365, 2314.139879822731, 2415.6317666769028, 2563.9478631019592, 2413.238862991333]
3 Epoch [60/200], Discriminator 0.3131, Best Generator[3] 0.6905
[1989.4208335280418, 2201.7824934720993, 1887.1892376169562, 2544.6999876499176, 1942.3151073902845, 1952.2236234098673, 2045.8938143849373, 2051.7717589735985]
2 Epoch [61/200], Discriminator 0.2484, Best Generator[2] 0.2992
[2275.5501573495567, 2680.1086968779564, 2973.196744441986, 2348.009168972727, 2162.6968490422587, 2347.8937526848167, 2292.990211799741, 2080.803471893072]
7 Epoch [62/200], Discriminator 0.4595, Best Generator[7] 0.0007
[2422.361045449972, 2339.337110608816, 2317.5207605808973, 2468.0708976089954, 2416.4312249422073, 2434.25970351696, 2298.132762171328, 3041.2638460993767]
6 Epoch [63/200], Discriminator 0.3338, Best Generator[6] 0.3823
[2881.1577625870705, 2734.223831921816, 2832.7448201179504, 2677.119628816843, 2681.0139348208904, 2871.0400655269623, 3181.8355062007904, 2680.1761112362146]
3 Epoch [64/200], Discriminator 0.3517, Best Generator[3] 0.4973
[2624.3198540210724, 2434.4035943746567, 2357.857921719551, 2850.447329044342, 2270.397229462862, 2368.8836555182934, 2535.1292991638184, 2387.5306109189987]
4 Epoch [65/200], Discriminator 0.3053, Best Generator[4] 0.7187
[2461.7849155664444, 2366.07852101326, 2435.663424372673, 2502.6661520004272, 2747.235846757889, 2505.896570801735, 2466.8142766952515, 2400.2766718268394]
1 Epoch [66/200], Discriminator 0.2876, Best Generator[1] 0.6709
[2026.1865356769413, 2636.925537109375, 2023.015657439828, 2257.3031349778175, 1945.4538266584277, 2171.9571279734373, 2224.095574080944, 2103.8038043677807]
4 Epoch [67/200], Discriminator 0.3248, Best Generator[4] 0.4692
[1588.1515747455996, 1638.2630792101845, 1815.634328532964, 1640.1511441450566, 2721.219180703163, 1775.2480787215754, 1853.2912156134844, 1633.212630576454]
0 Epoch [68/200], Discriminator 0.2891, Best Generator[0] 0.0043
[3291.0113322734833, 2877.9756236076355, 2945.1844886541367, 2750.6635843515396, 2824.513990342617, 2721.415795646608, 2833.5552272498608, 2816.7875220775604]
5 Epoch [69/200], Discriminator 0.2598, Best Generator[5] 0.0622
[2688.0639419555664, 2676.8096925914288, 2651.565557539463, 2665.2937166690826, 2579.845483183861, 3076.478287935257, 2757.3951211571693, 2826.182987809181]
4 Epoch [70/200], Discriminator 0.3704, Best Generator[4] 0.4176
[2098.039139918983, 2009.850327938795, 2131.2827345579863, 2026.0526320394129, 2823.6118042469025, 2162.4555008262396, 2199.6285387799144, 2026.661059241742]
1 Epoch [71/200], Discriminator 0.1967, Best Generator[1] 0.1189
[1821.1222670334973, 2841.6580653190613, 1901.8885778274853, 1795.3637998061022, 2088.6035933606327, 1782.9599815364782, 2152.297314852476, 1748.020681711314]
7 Epoch [72/200], Discriminator 0.3803, Best Generator[7] 0.0014
[2250.1724166572094, 2279.9443110227585, 2151.585054591298, 2335.7777457386255, 2358.1103300750256, 2297.834666520357, 2496.9387311041355, 2729.4973712563515]
2 Epoch [73/200], Discriminator 0.2740, Best Generator[2] 0.2242
[2403.7789004817605, 2355.6294878944755, 2939.1746530532837, 2477.807916134596, 2407.660874173045, 2436.7979221343994, 2186.0897411368787, 2360.6930250898004]
6 Epoch [74/200], Discriminator 0.1501, Best Generator[6] 0.2197
[2526.4338126182556, 2411.816617310047, 2347.002502799034, 2249.8671532571316, 2322.532846927643, 2173.9067334234715, 2780.6321902275085, 2225.1202527582645]
5 Epoch [75/200], Discriminator 0.2269, Best Generator[5] 0.3830
[2380.2432829663157, 2225.6398992203176, 2094.9623202728108, 2146.5340244285762, 2121.7652992904186, 2994.3464974164963, 2381.812290534377, 2258.705510161817]
2 Epoch [76/200], Discriminator 0.3037, Best Generator[2] 0.0751
[2190.3483507186174, 2730.748502254486, 2943.422586083412, 2402.722755908966, 2295.2251363396645, 2418.0131317079067, 2324.0938218683004, 2116.644279420376]
7 Epoch [77/200], Discriminator 0.2567, Best Generator[7] 0.1715
[2002.5981027409434, 1884.524914726615, 1810.039869369939, 1915.259376898408, 1857.4325459394604, 1836.891493389383, 1959.2024137154222, 2693.438870549202]
2 Epoch [78/200], Discriminator 0.2029, Best Generator[2] 0.0306
